username,full_name,phone,role,password
4001,Felix Doel,8012345678,voter,Vote@123
2026,Fatima Abas,8012345679,voter,Vote@123
2732,John Anderson,8012345680,voter,Vote@123
4006,Sarah Johnson,8012345681,voter,Vote@123
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
voter035,Jonathan Carter,8012345714,voter,Vote@123
voter036,Angela Mitchell,8012345715,voter,Vote@123
voter037,Adam Perez,8012345716,voter,Vote@123
voter038,Rebecca Roberts,8012345717,voter,Vote@123
voter039,Benjamin Turner,8012345718,voter,Vote@123
voter040,Lisa Phillips,8012345719,voter,Vote@123
voter041,Nathan Campbell,8012345720,voter,Vote@123
voter042,Kimberly Parker,8012345721,voter,Vote@123
voter043,Jacob Evans,8012345722,voter,Vote@123
voter044,Melissa Edwards,8012345723,voter,Vote@123
voter045,William Collins,8012345724,voter,Vote@123
voter046,Karen Stewart,8012345725,voter,Vote@123
voter047,Alexander Sanchez,8012345726,voter,Vote@123
voter048,Dorothy Morris,8012345727,voter,Vote@123
voter049,Nicholas Rogers,8012345728,voter,Vote@123
voter050,Susan Reed,8012345729,voter,Vote@123
